SOURCE_PATH	SOURCE_LINE_START	SOURCE_LINE_END	SOURCE_HEADING	TARGET_PATH	TARGET_HEADING	MIGRATION_STATUS	CONFLICT_ID	CONTENT_SHA256	SOURCE_PRESERVED	NOTES
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1	10	CANONICAL ROADMAP LOCK	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	Canonical Roadmap Lock	COMPLETE_EXACT	none	016ac5310cac3efc6eba785454454c0010bbdcb7bfd961578c197f7847cbd590	YES	Historical roadmap lock metadata
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	11	18	AIRO Finance Command Center - Final Kitab v2	docs/afpd/01_PROJECT_CHARTER.md	AIRO Finance Command Center	COMPLETE_EXACT	none	015d167dd7a2d7e269a389b803091a7a1e272e3aaee4b9c19f9e597d1f605633	YES	Ecosystem project header
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	19	50	0. Executive Decision	docs/afpd/01_PROJECT_CHARTER.md	Executive Decisions	COMPLETE_EXACT	AUTHORITY_FINAL_KITAB_VS_ARFIN	5121b86c671b741bd1e214b76c2a022350f4547f28eb1e90939946d3a628b236	YES	Initial executive consensus
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	51	65	1. Core Principles	docs/afpd/01_PROJECT_CHARTER.md	Core Principles	COMPLETE_EXACT	none	3028e2d97e4f76e1867e375ac9690d03237d8dacabbffe81b991d2c41bac9861	YES	System design philosophies
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	66	67	2. Final Layer Architecture	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	Architecture Overview	COMPLETE_EXACT	none	1284bd4e5a52cc5f4fc521fbd0fc2c3aab8d2c6804d9292930e00815bdc0455c	YES	Layered flow diagram intro
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	68	75	Layer 1 - Input Sources	docs/afpd/04_RUNTIME_TOPOLOGY.md	Input Topology	COMPLETE_EXACT	none	44467e87b6f5a5bf394f32eab80367162bde81a98d29f6ac55ba29f10b6b348f	YES	Ecosystem boundaries
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	76	89	2.1 Telegram Input	docs/afpd/04_RUNTIME_TOPOLOGY.md	Telegram Gateway Input	COMPLETE_EXACT	none	8f535a2e6e961529bd22dc75ef87ce7ec35835f8c11de8dfdafa4c1bc5157275	YES	Direct chat intake parameters
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	90	107	2.2 Email Notification Input	docs/afpd/04_RUNTIME_TOPOLOGY.md	Email Notification Ingestion	COMPLETE_EXACT	EMAIL_DEFAULT_OFF_VS_ACTIVE_RUNTIME	8caab41ee093aa92f896f49ece78069b51ddb5822f7259bb364311ecea9bd677	YES	Gmail notification input
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	108	121	2.3 Future Bank Mutation Input	docs/afpd/04_RUNTIME_TOPOLOGY.md	Future Bank Mutations	COMPLETE_EXACT	none	d205e543aefbf44b76082c43cfdffb0351304207f8b53197e9f7abb1e77c8b66	YES	Future bank interface scope
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	122	141	3. Clarification Layer	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Clarification Protocol	COMPLETE_EXACT	LEGACY_ALPHA_UX_VS_NUMERIC_UX	a4ba19067c5e294f1a6bdc3b470d45f9dbcc5baa2e4a2a211caf837395c1627e	YES	Clarification flow rules
